1,"Multidimensional crystal object the size of a human head floats and moans, as if in pain"
2,"Long, snakelike extensions made of metal extrude from the floor and ceiling of this room"
3,Floor intermittently becomes intangible
4,Glass container on metallic pole contains rapidly darting gobs of red-glowing goo
5,"Time stutters in area, causing rounds to replay over and over until a character succeeds on a difficulty 5 Intellect task"
6,Device removes eyes of those who use it and stores them in nearby vessel
7,Leafless “tree” of bronze-colored metal whispers secrets in an unknown language
8,"Leafless “tree” of bronze-colored metal asks questions in an unknown language"
9,"Leafless “tree” of bronze-colored metal gives compliments, with a sprinkling of veiled insults in an unknown language"
10,"Thin vortex of grey mist sometimes springs up a chamber’s center, spins for a few minutes, then fades"
11,"Metallic headbands found in discarded jumble contain infectious psychic virus; initial symptoms are whispers that only the infected can hear, but as infection worsens, others also begin to hear them"
12,"Invisible device casts shadow, hums quietly"
13,Messily disassembled automaton is scattered here
14,Disembodied mechanical hand floats in the air
15,"Disembodied mechanical hand floats in the air, gripping anything near it, attempting to crush what it holds"
16,Door to chamber isn't apparent on the inside
17,Spinning disc hangs at chamber's center
18,"Spinning disc hangs at chamber's center, but disc spins up only when disturbed, going faster and faster until it detonates after three rounds"
19,"Spinning disc hangs at chamber's center, but disc changes speed of spin to replicate sounds like words"
20,Chamber suspended on synth cords attached to a much higher area; sometimes chamber moves between those areas
21,"Torso of faceless humanoid of white synth protrudes from wall, makes strange gestures in response to questions"
22,Turquoise-hued polyp drips ichor that pools here
23,Pool of cool-to-the touch liquid metal
24,"Pool of cool-to-the touch liquid metal, but any material removed from pool hardens to steel-like rigidity a few rounds later"
25,"Pool of cool-to-the touch liquid metal, but liquid animates to form visages imitating anyone looking into pool"
26,"Creatures that trigger a slender device gain a glowing, symbol-like tattoo on their foreheads"
27,"Creatures that trigger a slender device gain a glowing, symbol-like tattoo on their foreheads, but the “tattoos” replace a creature's irises, though they don't interfere with vision"
28,Beam of light suspends a massive stone cube scribed with strange writing; breaking the light beam causes the cube to crash down and break
29,"Beam of light suspends a massive stone cube scribed with strange writing; breaking the light beam causes the cube to crash down and break, and broken cube contains a creature* in stasis, now waking"
30,Beam of light lifts and suspends any creature or object that enters it
31,"Beam of light lifts and suspends any creature or object that enters it, but anything in the light begins to quickly age"
32,Glass container holds slug-like creatures without eyes in a haze of orange mist that sustains them
33,"Glass container holds slug-like creatures without eyes in a haze of orange mist that sustains them, but slugs are intelligent and telepathic, without much purpose or motivation"
34,"Glass container holds slug-like creatures without eyes in a haze of orange mist that sustains them, but slugs are intelligent, telepathic, and desperate to convince explorers tc free them"
35,Nozzles sporadically spray area with water vapor
36,"Nozzles sporadically spray area with water vapor, but with acidic vapor"
37,"Nozzles sporadically spray area with water vapor, but with sleep-inducing vapor"
38,"Nozzles sporadically spray area with water vapor, but with vapor that erases concept of distance, the difference between near and far"
39,"Nozzles sporadically spray area with water vapor, but with a wonderful and pleasing odor"
40,Mechanism in this chamber attempts to communicate by changing light intensity on a screen
41,Creature* uses chamber to gestate/birth/hide young
42,Remnants of shattered device scattered here
43,"Remnants of shattered device scattered here, but if shards are brought together, they spontaneously assemble to create an artifact; artifact seems normal but upon depletion it detonates"
44,Synth and metal disc can be used as a levitating vehicle for up to one hour per day (depletion: 1in 1d6)
45,"Synth and metal disc can be used as a levitating vehicle for up to one hour per day (depletion: 1in 1d6), but on second use, levitating metal disc delivers passengers to some other location in structure that they don't choose"
46,Sparkling dust (inactive nanites) fills this chamber in fine drifts
47,"Sparkling dust (inactive nanites) fills this chamber in fine drifts, but one investigating character gains a glowing nimbus (composed of orbiting nanites)"
48,"Sparkling dust (inactive nanites) fills this chamber in fine drifts, but one investigating character gains a light-eating nimbus that seems to alter odds slightly in the character's favor but with negative consequences for allied characters"
49,"Sparkling dust (inactive nanites) fills this chamber in fine drifts, but the character's glowing nimbus that enrages any visitant that sees the character"
50,"Pulses of green light are emitted from a sphere-like device, changing slightly with each pulse as if counting something down"
51,"Pulses of green light are emitted from a sphere-like device, changing slightly with each pulse as if counting something down, but the event counting down is the destination of a nearby spatial portal, which changes at each turnover"
52,"Pulses of green light are emitted from a sphere-like device, changing slightly with each pulse as if counting something down, but the event counting down is a dramatic reversal in local gravity"
53,"Spatial flaw, held in place by tech in chamber, closes if machine is deactivated"
54,"Spatial flaw, held in place by tech in chamber, closes if machine is deactivated, but those who enter chamber take ambient damage from folding space each round"
